Wall time,Step,Value
1684420406.051349,10,4.01171875
1684420411.0034971,20,3.76953125
1684420422.0406547,30,3.025390625
1684420433.720202,40,3.115234375
1684420445.470689,50,2.65234375
1684420457.206003,60,2.794921875
1684420468.7480044,70,2.310546875
1684420480.4863179,80,3.068359375
1684420492.0826344,90,2.314453125
1684420503.6364293,100,3.30859375
1684420515.1152112,110,2.064453125
1684420526.653264,120,3.841796875
1684420538.271634,130,2.708984375
1684420549.7238507,140,2.2109375
1684420561.2546904,150,2.12109375
1684420572.7739549,160,2.375
1684420584.7135143,170,1.8095703125
1684420596.226314,180,2.265625
1684420607.7261324,190,2.27734375
1684420619.272401,200,2.51953125
1684420630.9352365,210,2.53515625
1684420642.3366761,220,2.005859375
1684420653.7325337,230,2.599609375
1684420665.3529031,240,1.5625
1684420676.8971868,250,1.44921875
1684420688.4456012,260,1.1875
1684420700.0636919,270,2.650390625
1684420711.5328708,280,1.3359375
1684420723.2353609,290,1.7451171875
1684420734.8579018,300,1.078125
1684420746.5684383,310,1.2783203125
1684420758.133996,320,2.51953125
1684420769.7004826,330,1.3115234375
1684420781.193894,340,1.3046875
1684420792.6879559,350,1.4970703125
1684420804.2846487,360,1.3271484375
1684420815.7834568,370,1.7646484375
1684420827.3906732,380,1.2177734375
1684420839.1416254,390,1.4990234375
1684420850.649367,400,0.55322265625
1684420862.1791806,410,1.5263671875
1684420873.861475,420,1.5654296875
1684420885.407926,430,0.837890625
1684420896.861754,440,1.265625
1684420908.6257205,450,1.671875
1684420920.0754766,460,1.208984375
1684420931.68234,470,1.912109375
1684420943.247213,480,1.37109375
1684420954.9716618,490,1.125
1684420966.4977777,500,1.462890625
1684420978.0060775,510,1.3857421875
1684420989.503519,520,1.28515625
1684421001.0014906,530,1.306640625
1684421012.5733407,540,2.14453125
1684421024.0566201,550,1.4169921875
1684421035.611448,560,1.052734375
1684421047.1190562,570,1.2900390625
1684421058.5702026,580,0.9453125
1684421070.0827093,590,1.28125
1684421081.6118908,600,0.91064453125
1684421093.1215289,610,0.8974609375
1684421104.7618587,620,2.396484375
1684421116.2245107,630,0.63232421875
1684421127.5942464,640,1.4052734375
1684421139.2315848,650,1.892578125
1684421150.9368348,660,1.1044921875
1684421162.5083804,670,0.410888671875
1684421174.060252,680,1.26953125
1684421185.520474,690,0.544921875
1684421196.962419,700,0.97119140625
1684421208.7065713,710,1.0888671875
1684421220.1645124,720,1.400390625
1684421231.9547815,730,0.91845703125
1684421243.4647384,740,0.9521484375
1684421254.9616656,750,0.95947265625
1684421266.422125,760,0.5498046875
1684421277.9222078,770,1.359375
1684421289.6932585,780,0.404541015625
1684421301.208113,790,0.755859375
1684421312.7707942,800,0.8837890625
1684421324.3544242,810,0.7998046875
1684421335.7869482,820,0.99951171875
1684421347.442821,830,1.0673828125
1684421358.9313958,840,0.91943359375
1684421370.4882832,850,1.2578125
1684421382.0669017,860,0.5986328125
1684421393.5439916,870,1.1181640625
1684421404.9709563,880,1.30859375
1684421416.480836,890,0.9521484375
1684421428.2020397,900,0.7119140625
1684421439.7184744,910,0.42431640625
1684421451.2143264,920,1.068359375
1684421462.6798706,930,0.87353515625
1684421474.253948,940,0.68115234375
1684421485.757486,950,0.7744140625
1684421497.1970873,960,0.9755859375
1684421508.872941,970,1.0068359375
1684421520.562646,980,0.42236328125
1684421532.0997422,990,0.7607421875
1684421543.5340757,1000,1.125
1684421555.2089489,1010,0.51171875
1684421566.8713531,1020,1.4296875
1684421578.4277422,1030,0.962890625
1684421589.9262123,1040,0.56982421875
1684421601.365764,1050,0.132080078125
1684421612.808526,1060,0.8876953125
1684421624.3047855,1070,0.78076171875
1684421635.8025434,1080,0.8359375
1684421647.4097035,1090,1.3203125
1684421658.87276,1100,0.4248046875
1684421670.258266,1110,0.373046875
1684421681.85304,1120,0.90380859375
1684421693.3730943,1130,0.56787109375
1684421704.9147294,1140,0.4765625
1684421716.5568995,1150,0.460693359375
1684421728.012594,1160,0.8232421875
1684421739.5521755,1170,0.3818359375
1684421751.0365324,1180,0.74755859375
1684421762.5907626,1190,0.78759765625
1684421774.083291,1200,0.80029296875
1684421785.680458,1210,0.6416015625
1684421797.199918,1220,0.6513671875
1684421808.672301,1230,0.10870361328125
1684421820.413038,1240,0.6943359375
1684421831.9455893,1250,0.7998046875
1684421843.51898,1260,0.363037109375
1684421855.0962343,1270,0.927734375
1684421866.5447974,1280,0.853515625
1684421878.0607302,1290,1.23828125
1684421889.8873177,1300,1.1689453125
1684421901.4380922,1310,0.88037109375
1684421913.36327,1320,0.6123046875
1684421924.8929083,1330,0.60595703125
1684421936.3795395,1340,0.6162109375
1684421947.8705852,1350,1.0107421875
1684421959.4125693,1360,0.748046875
1684421970.9899745,1370,0.70751953125
1684421982.604985,1380,0.5908203125
1684421994.091116,1390,0.489990234375
1684422005.720521,1400,0.947265625
1684422017.1649072,1410,0.95068359375
1684422028.791447,1420,0.935546875
1684422040.2891634,1430,0.72802734375
1684422051.8343854,1440,1.072265625
1684422063.5586317,1450,0.55322265625
1684422074.9799547,1460,0.5478515625
1684422086.5608246,1470,0.55810546875
1684422098.2453725,1480,0.53515625
1684422109.7840042,1490,0.77685546875
1684422121.3236256,1500,0.40673828125
1684422132.9098308,1510,0.371337890625
1684422144.3493688,1520,0.300048828125
1684422155.8131752,1530,0.63037109375
1684422167.478345,1540,0.880859375
1684422179.1444933,1550,0.478271484375
1684422190.7546816,1560,0.4580078125
1684422202.3560936,1570,0.7578125
1684422214.0298254,1580,0.75146484375
1684422225.8483834,1590,0.7890625
1684422237.3204157,1600,0.587890625
1684422248.8544676,1610,0.8056640625
1684422260.5018053,1620,1.373046875
1684422272.0849724,1630,0.568359375
1684422283.54682,1640,0.370361328125
1684422295.0319293,1650,0.427734375
1684422306.6053839,1660,0.56494140625
1684422318.1236544,1670,1.1259765625
1684422329.5965316,1680,0.6328125
1684422341.1053863,1690,0.447021484375
1684422352.5551262,1700,1.0625
1684422364.0199068,1710,0.72509765625
1684422375.601928,1720,0.6025390625
1684422387.093819,1730,0.5390625
1684422398.6009398,1740,0.448486328125
1684422410.0803313,1750,0.486328125
1684422421.554291,1760,0.494140625
1684422433.0269578,1770,0.262451171875
1684422444.5596344,1780,0.7666015625
1684422456.046768,1790,0.8505859375
1684422467.7475033,1800,0.146728515625
1684422479.1910863,1810,0.6337890625
1684422490.7218356,1820,0.371337890625
1684422502.1699786,1830,0.6328125
1684422513.8441796,1840,0.58740234375
1684422525.4088593,1850,0.76025390625
1684422537.2796712,1860,0.52099609375
1684422548.7956429,1870,0.73876953125
1684422560.6214607,1880,0.501953125
1684422572.1395984,1890,0.343994140625
1684422583.5913606,1900,0.92822265625
1684422595.2364657,1910,0.34130859375
1684422606.8909922,1920,0.615234375
1684422618.4040136,1930,0.40185546875
1684422630.019938,1940,0.93505859375
1684422641.4983802,1950,0.95556640625
1684422653.0493228,1960,0.283935546875
1684422664.5326045,1970,0.541015625
1684422676.2246974,1980,0.68212890625
1684422687.8563263,1990,0.853515625
1684422699.293568,2000,0.487060546875
1684422710.7881033,2010,0.275146484375
1684422722.4537663,2020,0.58349609375
1684422733.9737926,2030,0.78515625
1684422745.4938042,2040,0.442626953125
1684422757.1750543,2050,0.6103515625
1684422768.770172,2060,0.3798828125
1684422780.2337801,2070,0.08935546875
1684422791.9815726,2080,0.36181640625
1684422803.477423,2090,0.6767578125
1684422815.0838344,2100,0.4755859375
1684422826.5268214,2110,0.76025390625
1684422837.952921,2120,0.43212890625
1684422849.4607837,2130,0.61962890625
1684422861.164424,2140,0.52099609375
1684422872.717811,2150,0.515625
1684422884.6239161,2160,0.76806640625
1684422896.1485665,2170,0.323974609375
1684422907.5937557,2180,0.341796875
1684422919.278433,2190,0.552734375
1684422930.776482,2200,0.97900390625
1684422942.2721505,2210,0.39501953125
1684422953.7987325,2220,1.0283203125
1684422965.2987297,2230,0.75927734375
1684422976.769615,2240,0.92236328125
1684422988.353411,2250,0.374267578125
1684422999.9596918,2260,0.06787109375
1684423011.482449,2270,0.45849609375
1684423023.0855403,2280,0.1748046875
1684423034.6876898,2290,0.2587890625
1684423045.4549613,2300,0.5263671875
1684423057.1878195,2310,0.7265625
1684423068.773387,2320,0.6953125
1684423080.3535275,2330,0.75244140625
1684423091.9170356,2340,0.59130859375
1684423103.419873,2350,0.358154296875
1684423114.8488665,2360,0.697265625
1684423126.412603,2370,0.2265625
1684423137.925822,2380,0.93896484375
1684423149.5734835,2390,0.41357421875
1684423161.1615853,2400,0.6044921875
1684423172.5893831,2410,0.11871337890625
1684423184.0845113,2420,0.366455078125
1684423195.7179306,2430,0.1058349609375
1684423207.5140932,2440,0.423828125
1684423219.4169908,2450,0.26416015625
1684423231.0103092,2460,0.5546875
1684423242.6717143,2470,0.386962890625
1684423254.2355485,2480,0.5400390625
1684423265.693818,2490,0.423583984375
1684423277.3518631,2500,0.6416015625
1684423288.8918662,2510,0.818359375
1684423300.4018514,2520,0.4052734375
1684423312.0091097,2530,0.0386962890625
1684423323.4436185,2540,0.53271484375
1684423335.0776641,2550,0.37841796875
1684423346.8118327,2560,0.671875
1684423358.3574364,2570,0.4970703125
1684423369.9250607,2580,0.9501953125
1684423381.4257882,2590,0.81005859375
1684423392.8875456,2600,0.6162109375
1684423404.4441316,2610,0.6865234375
1684423416.0479274,2620,1.1826171875
1684423427.882594,2630,0.7060546875
1684423439.5029647,2640,0.217041015625
1684423451.0119011,2650,0.44091796875
1684423462.5578747,2660,0.8662109375
1684423474.484171,2670,0.338623046875
1684423486.2293687,2680,0.66796875
1684423497.6869888,2690,0.62451171875
1684423509.4462125,2700,0.5361328125
1684423520.941908,2710,0.4755859375
1684423532.386389,2720,0.451171875
1684423544.114305,2730,0.471923828125
1684423555.6528752,2740,0.7177734375
1684423567.1336908,2750,0.5126953125
1684423578.704819,2760,0.444091796875
1684423590.2521718,2770,0.464111328125
1684423601.7684367,2780,0.68701171875
1684423613.3006473,2790,0.6064453125
1684423624.8310728,2800,0.57275390625
1684423636.513202,2810,0.40087890625
1684423647.9653664,2820,0.48046875
1684423659.5725408,2830,0.59228515625
1684423671.0111897,2840,0.5361328125
1684423682.539123,2850,0.5302734375
1684423694.3553753,2860,0.51416015625
1684423705.889899,2870,0.309814453125
1684423717.622989,2880,0.568359375
1684423729.1269374,2890,0.57373046875
1684423740.534195,2900,0.478759765625
1684423752.1445715,2910,0.416259765625
1684423763.6265914,2920,0.70458984375
1684423775.4408152,2930,0.1485595703125
1684423786.9742022,2940,0.68896484375
1684423798.6141498,2950,0.358154296875
1684423810.0240977,2960,0.64404296875
