Wall time,Step,Value
1684428786.9490716,10,2.91796875
1684428796.3719833,20,7.1796875
1684428817.9999752,30,6.2578125
1684428839.3666432,40,3.02734375
1684428860.7332344,50,2.748046875
1684428882.1026845,60,1.9970703125
1684428903.5283515,70,1.923828125
1684428924.769119,80,1.1123046875
1684428945.9844413,90,1.1357421875
1684428967.21305,100,0.900390625
1684428988.5761442,110,0.406982421875
1684429010.019692,120,1.1923828125
1684429031.1615267,130,0.7744140625
1684429052.6503859,140,0.435546875
1684429074.0354064,150,1.0009765625
1684429095.7035363,160,0.54833984375
1684429116.8613918,170,0.6953125
1684429138.2430856,180,0.50439453125
1684429159.4478977,190,0.73974609375
1684429180.802102,200,0.50341796875
1684429202.0314488,210,0.828125
1684429223.4978952,220,0.791015625
1684429244.689906,230,0.8017578125
1684429265.873939,240,0.64697265625
1684429287.335292,250,0.681640625
1684429308.6964054,260,0.76025390625
1684429330.1872253,270,0.78759765625
1684429351.2933261,280,0.80322265625
1684429372.5905142,290,0.6142578125
1684429393.7778006,300,0.38671875
1684429414.9469695,310,0.7568359375
1684429436.2853456,320,0.89990234375
1684429457.6919675,330,0.416259765625
1684429478.8004255,340,1.3173828125
1684429500.3700047,350,0.56396484375
1684429521.6767254,360,0.587890625
1684429542.8696084,370,0.8583984375
1684429564.5733142,380,0.7705078125
1684429585.8420632,390,0.90869140625
1684429607.3908963,400,0.54345703125
1684429628.7132263,410,0.78173828125
1684429650.1047528,420,0.290771484375
1684429671.474383,430,0.58056640625
1684429692.7625196,440,0.560546875
1684429713.8742661,450,0.43701171875
1684429735.292512,460,0.6953125
1684429756.601127,470,1.3642578125
1684429777.96968,480,0.552734375
1684429799.3305964,490,0.4169921875
1684429820.5330944,500,0.55078125
1684429841.8941407,510,0.5732421875
1684429863.0253904,520,0.4599609375
1684429884.3801312,530,0.32470703125
1684429905.6606803,540,0.453857421875
1684429926.855988,550,0.3037109375
1684429947.9838011,560,0.97705078125
1684429969.3983746,570,0.81103515625
1684429990.4866698,580,0.393310546875
1684430011.8077152,590,0.74169921875
1684430032.8691754,600,0.476318359375
1684430054.265271,610,0.0201873779296875
1684430075.5382943,620,0.58935546875
1684430096.9759953,630,0.36865234375
1684430118.2715757,640,0.607421875
1684430139.4534953,650,0.62109375
1684430160.587119,660,0.487548828125
1684430181.8482165,670,1.310546875
1684430203.0860395,680,0.51318359375
1684430224.008232,690,0.65576171875
1684430244.9132445,700,0.422607421875
1684430265.9863994,710,0.332275390625
1684430287.2542558,720,0.373779296875
1684430308.0689435,730,0.431640625
1684430329.206149,740,0.52294921875
1684430350.300053,750,0.1876220703125
1684430371.651059,760,0.63427734375
1684430392.6531858,770,0.49755859375
1684430413.7531214,780,0.1787109375
1684430434.7261133,790,0.55029296875
1684430456.254158,800,0.463623046875
1684430477.4883614,810,0.3671875
1684430498.6895313,820,0.2003173828125
1684430519.8352714,830,0.41552734375
1684430541.1032076,840,0.10906982421875
1684430562.4131315,850,0.51953125
1684430583.4489524,860,0.314697265625
1684430604.74246,870,0.599609375
1684430625.7773876,880,0.150634765625
1684430647.288398,890,0.2445068359375
1684430668.2793043,900,0.365966796875
1684430689.5327692,910,0.480224609375
1684430710.7544622,920,0.68212890625
1684430732.1017344,930,0.35693359375
1684430753.1300645,940,0.5361328125
1684430774.3241763,950,0.483154296875
1684430795.3494592,960,0.48974609375
1684430816.5436275,970,0.456298828125
1684430837.6233022,980,0.452880859375
1684430858.9117737,990,0.63134765625
1684430879.882138,1000,0.265869140625
1684430901.1113303,1010,0.472412109375
1684430922.489249,1020,0.4228515625
1684430943.3227417,1030,0.6083984375
1684430964.5180311,1040,0.373046875
1684430985.37794,1050,0.46142578125
1684431006.3747208,1060,0.411376953125
1684431027.3116498,1070,0.1591796875
1684431048.3804402,1080,0.4794921875
1684431069.2379158,1090,0.1275634765625
1684431090.5557582,1100,0.64892578125
1684431111.4002764,1110,0.263427734375
1684431132.3160775,1120,0.235107421875
1684431153.3518362,1130,0.286865234375
1684431174.8939247,1140,0.458740234375
1684431195.9507442,1150,0.165771484375
1684431217.017373,1160,0.591796875
1684431237.8921115,1170,0.452392578125
1684431258.8455222,1180,0.51171875
1684431279.8338192,1190,0.47705078125
1684431300.7842717,1200,0.67919921875
1684431321.660822,1210,0.44580078125
1684431342.76478,1220,0.245361328125
1684431363.6158407,1230,0.783203125
1684431384.5765276,1240,0.61328125
1684431405.4018893,1250,0.60009765625
1684431426.5237443,1260,0.299072265625
1684431447.478788,1270,0.498291015625
1684431468.4418788,1280,0.5439453125
1684431489.7137806,1290,0.7333984375
1684431510.7178369,1300,0.343505859375
1684431531.5975184,1310,0.7958984375
1684431552.4219205,1320,0.5029296875
1684431573.3110924,1330,0.432861328125
1684431594.419099,1340,0.462890625
1684431615.2952507,1350,0.61279296875
1684431636.4169528,1360,0.375
1684431657.3398979,1370,0.2021484375
1684431678.1748135,1380,0.424072265625
1684431699.6261292,1390,0.32080078125
1684431720.4233937,1400,0.35546875
1684431741.3300388,1410,0.430419921875
1684431762.473516,1420,0.461181640625
1684431783.4423268,1430,0.1734619140625
1684431804.3376033,1440,0.2347412109375
1684431825.3482354,1450,0.2432861328125
1684431846.2623003,1460,0.481201171875
1684431867.2301824,1470,0.325927734375
1684431888.0922809,1480,0.5400390625
1684431909.3972852,1490,0.46875
1684431930.464182,1500,0.2122802734375
1684431951.6220942,1510,0.302734375
1684431972.7330987,1520,0.7998046875
1684431993.773703,1530,0.305419921875
1684432014.5834844,1540,0.483642578125
1684432035.5413573,1550,0.330322265625
1684432056.5654542,1560,0.494140625
1684432077.6805198,1570,0.355224609375
1684432098.5570834,1580,0.0256500244140625
